Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Eff_sim        ,Str_sim        ,Loose_sim      ,Connect   
5         ,8         ,005.pdb                  ,008.pdb                  ,0.95123        ,0.95123        ,0.95123        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,30:30,31:31,32:32,33:33,34:34,35:35
5         ,9         ,005.pdb                  ,009.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
5         ,10        ,005.pdb                  ,010.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
5         ,11        ,005.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
5         ,12        ,005.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
5         ,13        ,005.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
5         ,14        ,005.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
5         ,15        ,005.pdb                  ,015.pdb                  ,0.95123        ,0.95123        ,0.95123        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,30:30,31:31,32:32,33:33,34:34,35:35
6         ,7         ,006.pdb                  ,007.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
6         ,8         ,006.pdb                  ,008.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
6         ,9         ,006.pdb                  ,009.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
6         ,10        ,006.pdb                  ,010.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
6         ,11        ,006.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
6         ,12        ,006.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
6         ,13        ,006.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
6         ,14        ,006.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
6         ,15        ,006.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
7         ,8         ,007.pdb                  ,008.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
7         ,9         ,007.pdb                  ,009.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
7         ,10        ,007.pdb                  ,010.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
7         ,11        ,007.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
7         ,12        ,007.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
7         ,13        ,007.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
7         ,14        ,007.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
7         ,15        ,007.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
8         ,9         ,008.pdb                  ,009.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
8         ,10        ,008.pdb                  ,010.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
8         ,11        ,008.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
8         ,12        ,008.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
8         ,13        ,008.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
8         ,14        ,008.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
8         ,15        ,008.pdb                  ,015.pdb                  ,0.95123        ,0.95123        ,0.95123        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,30:30,31:31,32:32,33:33,34:34,35:35
9         ,10        ,009.pdb                  ,010.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
9         ,11        ,009.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
9         ,12        ,009.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
9         ,13        ,009.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
9         ,14        ,009.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
9         ,15        ,009.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
10        ,11        ,010.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
10        ,12        ,010.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
10        ,13        ,010.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
10        ,14        ,010.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
10        ,15        ,010.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
11        ,12        ,011.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
11        ,13        ,011.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
11        ,14        ,011.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
11        ,15        ,011.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
12        ,13        ,012.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
12        ,14        ,012.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
12        ,15        ,012.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
13        ,14        ,013.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
13        ,15        ,013.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
14        ,15        ,014.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
