Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Eff_sim        ,Str_sim        ,Loose_sim      ,Connect   
0         ,1         ,000.pdb                  ,001.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,2         ,000.pdb                  ,002.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,3         ,000.pdb                  ,003.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,4         ,000.pdb                  ,004.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,5         ,000.pdb                  ,005.pdb                  ,0.33287        ,0.33287        ,0.33287        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:23,22:26,23:27,24:28,25:29,26:30,27:31,28:32,29:33
0         ,6         ,000.pdb                  ,006.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,7         ,000.pdb                  ,007.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,8         ,000.pdb                  ,008.pdb                  ,0.33287        ,0.33287        ,0.33287        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:23,22:26,23:27,24:28,25:29,26:30,27:31,28:32,29:33
0         ,9         ,000.pdb                  ,009.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,10        ,000.pdb                  ,010.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,11        ,000.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,12        ,000.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,13        ,000.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,14        ,000.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
0         ,15        ,000.pdb                  ,015.pdb                  ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:23,22:26,23:27,24:28,25:29,26:30,27:31,28:32,29:33
1         ,2         ,001.pdb                  ,002.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,3         ,001.pdb                  ,003.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,4         ,001.pdb                  ,004.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,5         ,001.pdb                  ,005.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,6         ,001.pdb                  ,006.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,7         ,001.pdb                  ,007.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,8         ,001.pdb                  ,008.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,9         ,001.pdb                  ,009.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,10        ,001.pdb                  ,010.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,11        ,001.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,12        ,001.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,13        ,001.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,14        ,001.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
1         ,15        ,001.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,3         ,002.pdb                  ,003.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,4         ,002.pdb                  ,004.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,5         ,002.pdb                  ,005.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,6         ,002.pdb                  ,006.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,7         ,002.pdb                  ,007.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,8         ,002.pdb                  ,008.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,9         ,002.pdb                  ,009.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,10        ,002.pdb                  ,010.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,11        ,002.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,12        ,002.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,13        ,002.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,14        ,002.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
2         ,15        ,002.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,4         ,003.pdb                  ,004.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,5         ,003.pdb                  ,005.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,6         ,003.pdb                  ,006.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,7         ,003.pdb                  ,007.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,8         ,003.pdb                  ,008.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,9         ,003.pdb                  ,009.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,10        ,003.pdb                  ,010.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,11        ,003.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,12        ,003.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,13        ,003.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,14        ,003.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
3         ,15        ,003.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,5         ,004.pdb                  ,005.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,6         ,004.pdb                  ,006.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,7         ,004.pdb                  ,007.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,8         ,004.pdb                  ,008.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,9         ,004.pdb                  ,009.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,10        ,004.pdb                  ,010.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,11        ,004.pdb                  ,011.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,12        ,004.pdb                  ,012.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,13        ,004.pdb                  ,013.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,14        ,004.pdb                  ,014.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
4         ,15        ,004.pdb                  ,015.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
5         ,6         ,005.pdb                  ,006.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
5         ,7         ,005.pdb                  ,007.pdb                  ,0.00000        ,0.00000        ,0.00000        ,No        ,NO_MAP_IN_PARALLEL_MODE
